mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0					𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
1	1	0	0	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	0						
1	1	1/4	1/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	1						
1	1	1/2	1/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	2						
1	1	3/4	3/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	3						
1	1	1	1	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	4						
1	1	5/4	5/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	5						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	6						
1	1	2	2	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	7						
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	8						
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	9						
1	1	7/2	7/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	10						
1	1	15/4	15/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	11						
1	1	0	0	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	12						
1	1	1/2	1/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	13						
1	1	1	1	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	14						
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	15						
1	1	2	2	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	16						
1	1	9/4	9/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	17						
1	1	5/2	5/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	18						
1	1	11/4	11/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	19						
1	1	3	3	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	20						
1	1	13/4	13/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	21						
1	1	7/2	7/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	22						
1	1	15/4	15/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	23						
2	2	4	4	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	24						
2	2	19/4	19/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	25						
2	2	5	5	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	26						
2	2	21/4	21/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	27						
2	2	11/2	11/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	28						
2	2	23/4	23/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	29						
2	2	6	6	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	30						
2	2	25/4	25/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	31						
2	2	13/2	13/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	32						
2	2	27/4	27/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	33						
2	2	7	7	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	34						
2	2	29/4	29/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	35						
2	2	15/2	15/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	36						
2	2	31/4	31/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	37						
2	2	4	4	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	38						
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	39						
2	2	5	5	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	40						
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	41						
2	2	6	6	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	42						
2	2	13/2	13/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	43						
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	44						
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	45						
3	3	8	8	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	46						
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	47						
3	3	9	9	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	48						
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	49						
3	3	10	10	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	50						
3	3	41/4	41/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	51						
3	3	21/2	21/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	52						
3	3	43/4	43/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	53						
3	3	11	11	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	54						
3	3	45/4	45/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	55						
3	3	23/2	23/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	56						
3	3	47/4	47/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	57						
3	3	8	8	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	58						
3	3	33/4	33/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	59						
3	3	17/2	17/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	60						
3	3	35/4	35/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	61						
3	3	9	9	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	62						
3	3	37/4	37/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	63						
3	3	19/2	19/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	64						
3	3	39/4	39/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	65						
3	3	10	10	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	66						
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	67						
3	3	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	68						
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	69						
4	4		12	0.25	1	0	0	Chord	4/4	1	1	1/16	1/16	1	70						
4	4		49/4	0.25	1	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	71						
4	4		25/2	0.25	1	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	72						
4	4		51/4	0.25	1	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	73						
4	4		13	0.25	1	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	74						
4	4		53/4	0.25	1	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	75						
4	4		27/2	0.25	1	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	76						
4	4		55/4	0.25	1	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	77						
4	4		14	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	78						
4	4		12	0.5	1	0	0	Chord	4/4	2	1	1/8	1/8	1	79						
4	4		25/2	0.5	1	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	80						
4	4		13	0.5	1	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81						
4	4		27/2	0.5	1	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82						
4	4		14	0.25	1	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	83						
4	4		57/4	0.25	1	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	84						
4	4		29/2	0.25	1	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	85						
4	4		59/4	0.25	1	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	86						
4	4		15	0.25	1	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	87						
4	4		61/4	0.25	1	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	88						
4	4		31/2	0.25	1	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	89						
4	4		63/4	0.25	1	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	90						
5	4	12	16	0.25	2	0	0	Chord	4/4	1	1	1/16	1/16	1	91						
5	4	49/4	65/4	0.25	2	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	92						
5	4	25/2	33/2	0.25	2	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	93						
5	4	51/4	67/4	0.25	2	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	94						
5	4	13	17	0.25	2	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	95						
